Position,Date Posted,Application Due,Position Type,Number of Openings,Location,Targeted Academic Majors,Hiring Status,Job Function,Payment Type and Range,Hours Per Week,Workplace Type,Transportation,Work Authorization,Additional Documents,Desired Skills,Description,Bouve College of Health Sciences,College of Engineering,"College of Arts, Media & Design",College of Science,College of Social Science & Humanities,D'Amore-McKim School of Business,Khoury College of Computer Sciences
WLAN Engineer Intern,"Oct 21, 2020","Mar 19, 2021",Co-op,1,"Santa Clara, California United States","College of Engineering/Telecommunications-System Management, College of Engineering/Telecommunication Networks, College of Engineering/Information Systems, College of Engineering/Computer System Engineering, College of Engineering/Computer Engineering",Available,Network and Computer Systems Administration,Unspecified,Full Time (32+ Hours Per Week),Remote work is permitted when public health concerns dictate,,,,,You must apply online and on NUWorks,No,Yes,No,No,No,No,No
Logistics Business Analyst,"Oct 01, 2020","Dec 31, 2020",Co-op,1,"Franklin Town, Massachusetts United States","College of Engineering, D'Amore-McKim School of Business, Khoury College of Computer Sciences",Available,Operations,Hourly,Full Time (32+ Hours Per Week),"Remote work is permitted when public health concerns dictate, Remote work is permitted at any time, Primarily remote work",Accessible by public transportation,,,,"Job Description: Logistics Business AnalystJob Location: Franklin, MASummary:You will be based with the Logistics Business Operations team in Franklin, MA (Remote the majority if not all the time due to COVID), which is responsible for worldwide planning and distribution of spare parts for our customer base. Types of projects you will be working on include expanding the depth and breadth of metrics reporting for field operations and analysis of existing processes and data to identify areas of efficiency. In addition to working with folks from the Logistics team, you will be working cross functionally with Remote Support, Field Operations, Finance, and Business Operations.Skill Set:Principal Duties & Responsibilities:",No,Yes,No,No,No,Yes,Yes
Visual Designer ,"Oct 16, 2020","Dec 31, 2020",Co-op,1,"Portland, Maine United States","College of Arts, Media & Design, Khoury College of Computer Sciences",Available,Art & Design,Unspecified,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Car required for commute,"Authorized to work in the U.S., Requires OPT or CPT, United States Citizen, Legal Permanent Resident of US",Cover Letter,,"We are looking for a visual designer to help us redefine the future of work and communicate complex ideas in a simple and visually appealing way.At Friday, we believe the future of work is a more flexible work environment and that remote work is only the tip of the iceberg. We’re building software to give people awareness and visibility into what’s going on at work, regardless of where the team is based. Remote teams love the software and 87% of our users say it improves the remote work experience.Think of Friday as a digital work planner or a sidekick to workplace chat tools like Slack or Microsoft Teams. The software bundles the best practices of remote teams and makes it easy for any team to roll these work habits out in less time and with less stress. This is especially important as millions of people were forced to work remotely due to Covid-19. The software is used by leading teams at Twitter, Red Hat, EA, and more.About the RoleWe seek an independent, self-motivated designer who can take initiative and work autonomously. You will report directly with the CEO and work directly with a product/ux designer on visual and creative projects that share the story about the software and how our customers use it. Think of this role like a creative director, but more hands on.Responsibilities: Create product overview videos (visual animation, storytelling, post-production, etc) that will be used to educate our audience and teach important product concepts Create fun and visually appealing illustrations that will be used on our marketing website and throughout the product Educate customers and users about remote work through explainer videos and other visual assets like ebooks, blog posts, and more Maybe help us launch a podcast?For this role, we are looking for a breadth of visual design skills due to the variety of projects you would be responsible for. We’d really like someone who has an interest in video/animation/illustration.Requirements Portfolio of work you’d be willing to share Ability to work autonomously Strong aesthetic skills with the ability to combine various colors, fonts and layouts Ability to meet deadlines while working on team projectsOther things you should know about the roleThe role is flexible, but some of these projects can be accelerated if we meet up in-person, especially for the first-part of the program.",No,No,Yes,No,No,No,Yes
Co-Op Analytical Development,"Sep 18, 2020","Dec 31, 2020",Co-op,1,"Cambridge, Massachusetts United States","College of Science/Chemistry, College of Science/Cell and Molecular Biology, College of Science/Biotechnology, College of Science/Biomedical Physics, College of Science/Biology, College of Science/Bioinformatics, College of Science/Biochemistry",Available,Research,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work",Accessible by public transportation,,,,"About Oncorus:Oncorus, Inc. (Cambridge, MA) is an early-stage biotechnology company developing a next-generation oncolytic virus immunotherapy platform to treat cancer. We are seeking a highly motivated, skilled, and enthusiastic co-op to join our Analytical Development team within the CMC department. The successful candidate will contribute to Oncorus’ programs by supporting the testing and characterization of our viral and synthetic drug products. This position provides an excellent opportunity to learn a wealth of new techniques and concepts while contributing to the development of promising new cancer therapies.Analytical Development Co-Op:The co-op will be expected to execute experiments independently, collect data, and report on their findings in a well-planned and coordinated manner. The co-op will assist with the development of chromatography methods, light scattering techniques, and plate-based assays to characterize lipid nanoparticles. In addition, the co-op will work cross-functionally to support process development efforts. Strong organizational skills and the ability to work effectively within a team environment are required.The ideal candidate will be flexible and willing to learn on the fly and should be excited by technical challenges and the ability to grow as a scientist.Responsibilities and Opportunities:· Develop chromatographic methods to characterize nucleic acids and lipids· Refine light scattering techniques to characterize nanoparticles· Optimize plate-based assays for high-throughput analysis of drug products· Collaborate with upstream and downstream teams to support process development and product characterization· Support routine analytical testing work as needed· Document work in an electronic laboratory notebook and report findings to the team in presentation format· Assist with regular maintenance of mammalian cell lines, critical laboratory reagents and troubleshooting of advanced equipmentOur Ideal Candidate:· Currently a 2nd or 3rd year student enrolled in a 4 or 5 year undergraduate program in Chemical/Biochemical Science or Engineering· Previous hands-on laboratory experience a plus (particularly with HPLC, DLS, or fluorescence assays)· Proficiency in Microsoft Excel, PowerPoint, and Word· Pays close attention to detail and keeps careful laboratory notes concurrently as work is performed· Displays a high degree of maturity, honesty, trust and integrity· Self-starter who can learn on the job and volunteer to tackle jobs to help the team· Demonstrates the ability to work well in a team environment",No,No,No,Yes,No,No,No
ResearchAssistant|Assistant Crime Analyst,"Oct 01, 2020","Jan 29, 2021",Co-op,2,"Boston, Massachusetts United States","College of Arts, Media & Design, College of Science, College of Social Science & Humanities",Available,Criminal Justice - Other,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,,"Research, Attention to Detail","Important Job InformationPlease see full job description below.[x ] Background check/CORI[x ] Drug test[x ] Special Information - fingerprintedQUALIFICATIONS:EDUCATION LEVEL REQUIRED:SPECIAL REQUIREMENTS:EXPERIENCE TYPE:Crime and Intelligence AnalysisCITIZENSHIP REQUIREMENTS:NonePUBLIC TRANSPORTATION:HOURS & SALARY:JOB NOTES:++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++Coordinator: Michelle ZaffAdditional Key Search Words: Law Enforcement, Policing, Police Departments, Crime Analysis",No,No,Yes,Yes,Yes,No,No
Genetic Counseling Assistant ,"Oct 05, 2020","Dec 31, 2020",Co-op,1,"Boston, Massachusetts United States","College of Science/Biology, College of Science/Behavioral Neuroscience",Available,Healthcare,Hourly/$11 to $17 (USD),Full Time (32+ Hours Per Week),On-site work is preferred when public health concerns allow,Accessible by public transportation,,Cover Letter,Genetics,students should be taking/have taken genetics,No,No,No,Yes,No,No,No
Co-op HitS Platform,"Oct 17, 2020","Jan 31, 2021",Co-op,2,"Natick, Massachusetts United States","College of Science, College of Science/Chemistry, College of Science/Cell and Molecular Biology, College of Science/Biotechnology, College of Science/Biomedical Physics, College of Science/Biology, College of Science/Bioinformatics, College of Science/Biochemistry",Available,Pharmaceuticals / Biotechnology,Salary (Full Time),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work",Car required for commute,,Unofficial Transcript,"Protein Assays, Western Blotting, Protein Purification, DNA Sequencing, HPLC, PCR, SDS PAGE, Affinity Chromatography, Electro blotting, Lyophillization, PCR, Prote, HPLC-MS, qPCR",Experience / EducationRequirements,No,No,No,Yes,No,No,No
Biochemical & Cellular Pharmacology Molecular Discovery,"Oct 16, 2020","Dec 31, 2020",Co-op,1,"Nationwide United States Cambridge, Massachusetts United States","College of Science, College of Science/Physics, College of Science/Chemistry, College of Science/Biotechnology, College of Science/Biology, College of Science/Biochemistry",Available,Research,Weekly,Full Time (32+ Hours Per Week),On-site work is preferred when public health concerns allow,Accessible by public transportation,,,,Key responsibilities:Requirements:,No,No,No,Yes,No,No,No
Project Engineer - COOP,"Sep 25, 2020","Dec 31, 2020",Co-op,1,"San Jose, California United States","College of Engineering/Engineering Management, College of Engineering/Civil Engineering, College of Professional Studies/Project Management",Available,Construction & Building Trades,"Weekly/$500 to $1,000 (USD)",Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Primarily on-site work","Accessible by public transportation, Carpool available",,,,"ProVen Management is a Heavy Civil Contractor currently hiring for positions on Three Projects. One located in San Francisco, One located in South San Francisco and the Third Located in San Jose. ProVen Management also is in the act of completing a variety of additional projects through the Bay Area and continues to bid for additional Work.The positions available offer an opportunity to learn about all aspects of the General Contracting side of the construction industry. Work is fast paced and it is expected candidates will be able to learn fast, adapt and work diligently. Those who accept the positional will be expected to perform a variety of tasks proficiently. This includes monitoring and quantifying field productivity, identifying and procuring material, including the coordination of multiple vendors to accomplish a singular scope, and developing cost proposals and time impact evaluations for potential changed work.",No,Yes,No,No,No,No,No
"Software Engineer, Back End - Boston (Remote)","Oct 08, 2020","Feb 08, 2021",Co-op,1,"Boston, Massachusetts United States","College of Engineering, Khoury College of Computer Sciences",Available,Software Development,Hourly,Full Time (32+ Hours Per Week),"Remote work is permitted at any time, Primarily remote work",,,,"Amazon Web Services (AWS), Scala, Akka, Java, SQL, Haskell","Software Engineer, Back End - Boston (Remote)About the RoleTeikametrics is looking for a software engineer with strong computer science fundamentals and a background in application development.Feature teams at Teikametrics currently focus on Python-powered Flask APIs servicing data out of Postgres, which is in turn filled from Snowflake tables, in turn filled by DBT. We also have a 'functional-first' Scala stack with cats, fs2, akka-http, and slick. These back ends power a front-end that uses TypeScript with React and Redux.At Teikametrics, you will: Write code primarily in React and contribute to our web application’s front end. Become an essential member of a team of ~3-6 engineers, frequently pair programming. Learn, grow, and receive mentorship from individual members of your diverse and talented engineering team. Actively contribute to our development roadmap and to the evolution of our software platform. Collaborate and communicate with our other development teams. Read and review pull requests. Participate in planning meetings, retros, and other scrum meetings.Qualified candidates should have: Experience with Python. Knowledge of and experience with databases (especially SQL/RDBMS experience). Experience with writing code that interfaces with the database layer. Experience writing well designed and testable code and writing effective unit and integration tests. Passion for working with a small team of world-class developers, solving challenging problems. A desire to work in a collaborative environment focusing on continuous learning; participating in tech talks, code review, and some pair programming.Nice to have: Experience Scala, Java, Haskell, or related languages. Experience with functional programming. Experience with our React or TypeScript.ABOUT TEIKAMETRICSAt Teikametrics, we’re building an operating system to optimize every aspect of a retailer's business -- from advertising to inventory to pricing. We optimize billions of transactions for thousands of entrepreneurs and brands around the world selling on Amazon and other marketplaces. The Teikametrics Retail Optimization Platform uses proprietary econometrics and machine-learning data models packaged in a simple SaaS interface. We combine our best in class technology with coaching and support from our world-class teams based remotely and in Boston, MA, Seattle, WA, Tel Aviv, Israel and Bengaluru, India. We are looking for people who can excel, add value to our mission, and thrive in a demanding start-up environment.",No,Yes,No,No,No,No,Yes
